1,安定门西,39.959115,116.40795200000002
2,安各庄,40.341187,116.70458000000008
3,安固北口,40.124633,117.16821600000003
4,安河桥,40.008533,116.27101199999993
5,安慧桥北,39.993245,116.40756499999998
6,安利隆,40.203291,116.926739
7,安宁庄北路,40.0488,116.32079999999996
8,安宁庄东路北口,40.050757,116.32336899999996
9,安贞医院,39.97362700000001,116.40205300000002
10,奥林匹克花园东门,39.964202,116.54718500000001
11,八宝山,39.907438,116.23571800000002
12,八大处,39.953838,116.18719499999997
13,八角路东口,39.913799,116.20257100000003
14,八角西街北口,39.91793699999999,116.19851800000004
15,八里庄北里,39.928204,116.49781899999994
16,八里庄南里,39.922953,116.49875799999995
17,八亩地,40.521798,116.67102399999999
18,八王坟北,39.91083,116.47783700000002
19,坝房子,39.921969,116.12571400000002
20,白堆子口西,39.923871,116.32577900000001
21,白坊,40.073728,116.43519300000003
22,白家楼桥东,39.923796,116.55440699999997
23,白家疃西口,40.044604,116.180343
24,白纸坊桥南,39.876517,116.34904499999993
25,百善北口,40.170011,116.32620410000004
26,百子湾桥东,39.900713,116.49146799999994
27,半壁店中学,39.6313059,116.39622729999996
28,宝盛西里,40.035421,116.36541899999997
29,保福寺桥西,39.985653,116.33030600000006
30,保健路北口,39.730366,116.12815799999998
31,保罗生物园,39.84128,116.77308900000003
32,保兴庄,39.592026,116.11336000000006
33,报子胡同,39.926871,116.36651000000006
34,鲍家庄,40.072295,117.07863199999997
35,暴峪泉,40.236052,116.46880399999998
36,北兵马司,39.936506,116.40869399999997
37,北辰东路,39.9982482,116.40079349999996
38,北辰西路北口,39.9932755,116.38712859999998
39,北大地,39.857055,116.28270399999997
40,北店嘉园,40.082845,116.33508899999993
41,北坊,39.73759099999999,116.055747
42,北蜂窝路,39.90259770000001,116.32888630000002
43,北蜂窝路南口,39.898959,116.32907899999998
44,北岗洼,39.791675,116.19550700000002
45,北岗子,39.977939,116.53258499999993
46,北关闸,39.924623,116.66374999999994
47,北官厅,39.949202,116.430158
48,北海北门,39.933447,116.39054799999997
49,北河道口,40.041803,116.70635100000004
50,机械厂,39.749849,115.96391800000004
51,物资学院,39.927696,116.63921200000004
52,北科院,40.420967,116.01682800000003
53,北控,40.20041399999999,116.23477600000001
54,北潞园,39.736471,116.13097800000003
55,北马庄,39.951293,116.65725299999997
56,北欧小镇,39.956828,116.81383800000003
57,北上营,40.20685,117.11795400000005
58,北尚乐,39.541669,115.78999699999997
59,北神树,39.823014,116.54492299999993
60,北神树西口,39.823014,116.54492299999993
61,北石门村,39.64239,115.55138299999999
62,北石渠,40.082839,116.989913
63,北四位村,39.813556,116.06240200000002
64,北台下,40.376698,116.68312700000001
65,北太平路口西,39.903824,116.25640499999997
66,北桃园,40.03234399999999,116.72535399999992
67,北土城,39.976907,116.39422300000001
68,北纬路东口,39.883639,116.39656100000002
69,北务,40.071247,116.82892900000002
70,北下关,39.957601,116.33518500000002
71,北小街豁口,39.949746,116.42381
72,北小营,39.477015,116.70170299999995
73,北亚小区,40.129809,116.424036
74,北仪阁村,39.756664,116.73011799999995
75,北苑家园,40.04153,116.42823499999997
76,北寨,40.243055,117.20779400000004
77,北庄头,40.032498,116.75439499999993
78,碧海公园,39.812404,116.44440400000008
79,便民街东口,40.134876,116.657016
80,滨河南口,40.115789,116.67981499999996
81,滨河西里,39.750581,116.33809399999996
82,滨河苑,39.976547,117.07543099999998
83,滨阳里,40.383647,116.861625
84,冰窖口胡同西口,39.950945,116.37297999999998
85,采育东街,39.655935,116.63077999999996
86,采育桥头,39.654295,116.62212099999999
87,采育中街,39.655035,116.626443
88,彩各庄,40.279546,116.64028699999994
89,踩河,40.14479,116.24721
90,菜市口北,39.891063,116.37453499999992
91,蔡家洼,40.36353099999999,116.90783699999997
92,苍头,40.393229,116.75610600000005
93,曹各庄,39.980801,116.60616400000004
94,曹碾,40.142926,116.44912299999999
95,曹园村,39.859578,116.65999
96,曹庄,39.145837,117.09114399999999
97,草场地,40.001239,116.50516600000003
98,柴厂屯西口,39.638005,116.76752099999999
99,昌平,40.22066,116.23120399999993
100,昌平东关路口北,40.222769,116.26189999999997
101,昌平胡庄,40.27005200000001,116.23431200000005
102,昌平环保局,40.200416,116.238923
103,昌平麻峪,40.231092,116.37889110000003
104,昌平南口东街,40.241484,116.13752299999999
105,昌平三街小学,40.0815097,116.32733200000007
106,昌平三中,40.2272751,116.21948250000003
107,昌平西街物美,40.0026697,116.51636940000003
108,昌平小白羊超市,40.22066,116.23120399999993
109,昌平辛庄,40.228458,116.43909600000006
110,昌平新世纪,40.2189,116.23359000000005
111,昌平一中路口,40.16375710000001,116.27246790000004
112,昌平于辛庄,40.22066,116.23120399999993
113,长城旅游学院,40.45344300000001,115.99042199999997
114,长椿街路口西,39.899453,116.361849
115,长店,40.00891,116.55334100000005
116,长店路口东,40.002861,116.56729399999995
117,长丰园一区,39.785253,116.28979000000004
118,长陵,40.297852,116.24716899999999
119,长辛店北口,39.832267,116.20966499999997
120,长辛店南口,39.822397,116.20945800000004
121,长辛店医院,39.82058,116.20868399999995
122,长峪城,40.164074,115.90049199999999
123,长子营,39.684968,116.59606699999995
124,常舍,39.606023,116.14535799999999
125,常兴庄,40.178527,116.41958799999998
126,常营民族家园,39.932067,116.57712700000002
127,常营民族小区,39.928329,116.58372400000007
128,畅观楼,40.145726,117.110818
129,朝来家园东区,40.033069,116.43714299999999
130,朝内小街,39.924341,116.42441499999995
131,朝外北街,39.9269454,116.4388702
132,朝阳公园桥南,39.932135,116.48947999999996
