925,2012-11-30 00:00:00,39.6262,116.447,3,39.6244,116.444,39.628,116.45
948,2012-11-30 00:00:00,39.6262,116.585,2,39.6244,116.582,39.628,116.588
960,2012-11-30 00:00:00,39.6262,116.657,2,39.6244,116.654,39.628,116.66
1034,2012-11-30 00:00:00,39.6298,115.901,1,39.628,115.898,39.6316,115.904
1041,2012-11-30 00:00:00,39.6298,115.943,2,39.628,115.94,39.6316,115.946
1043,2012-11-30 00:00:00,39.6298,115.955,1,39.628,115.952,39.6316,115.958
1044,2012-11-30 00:00:00,39.6298,115.961,2,39.628,115.958,39.6316,115.964
1053,2012-11-30 00:00:00,39.6298,116.015,1,39.628,116.012,39.6316,116.018
1058,2012-11-30 00:00:00,39.6298,116.045,1,39.628,116.042,39.6316,116.048
1059,2012-11-30 00:00:00,39.6298,116.051,3,39.628,116.048,39.6316,116.054
1060,2012-11-30 00:00:00,39.6298,116.057,3,39.628,116.054,39.6316,116.06
1063,2012-11-30 00:00:00,39.6298,116.075,1,39.628,116.072,39.6316,116.078
1083,2012-11-30 00:00:00,39.6298,116.195,1,39.628,116.192,39.6316,116.198
1088,2012-11-30 00:00:00,39.6298,116.225,1,39.628,116.222,39.6316,116.228
1120,2012-11-30 00:00:00,39.6298,116.417,2,39.628,116.414,39.6316,116.42
1132,2012-11-30 00:00:00,39.6298,116.489,1,39.628,116.486,39.6316,116.492
1153,2012-11-30 00:00:00,39.6298,116.615,1,39.628,116.612,39.6316,116.618
1159,2012-11-30 00:00:00,39.6298,116.651,6,39.628,116.648,39.6316,116.654
1246,2012-11-30 00:00:00,39.6334,115.973,1,39.6316,115.97,39.6352,115.976
1255,2012-11-30 00:00:00,39.6334,116.027,1,39.6316,116.024,39.6352,116.03
1256,2012-11-30 00:00:00,39.6334,116.033,1,39.6316,116.03,39.6352,116.036
1260,2012-11-30 00:00:00,39.6334,116.057,2,39.6316,116.054,39.6352,116.06
1263,2012-11-30 00:00:00,39.6334,116.075,1,39.6316,116.072,39.6352,116.078
1277,2012-11-30 00:00:00,39.6334,116.159,4,39.6316,116.156,39.6352,116.162
1357,2012-11-30 00:00:00,39.6334,116.639,1,39.6316,116.636,39.6352,116.642
1427,2012-11-30 00:00:00,39.637,115.859,1,39.6352,115.856,39.6388,115.862
1428,2012-11-30 00:00:00,39.637,115.865,1,39.6352,115.862,39.6388,115.868
1455,2012-11-30 00:00:00,39.637,116.027,2,39.6352,116.024,39.6388,116.03
1456,2012-11-30 00:00:00,39.637,116.033,3,39.6352,116.03,39.6388,116.036
1457,2012-11-30 00:00:00,39.637,116.039,3,39.6352,116.036,39.6388,116.042
1475,2012-11-30 00:00:00,39.637,116.147,6,39.6352,116.144,39.6388,116.15
1536,2012-11-30 00:00:00,39.637,116.513,2,39.6352,116.51,39.6388,116.516
1541,2012-11-30 00:00:00,39.637,116.543,1,39.6352,116.54,39.6388,116.546
1637,2012-11-30 00:00:00,39.6406,115.919,2,39.6388,115.916,39.6424,115.922
1647,2012-11-30 00:00:00,39.6406,115.979,4,39.6388,115.976,39.6424,115.982
1657,2012-11-30 00:00:00,39.6406,116.039,1,39.6388,116.036,39.6424,116.042
1661,2012-11-30 00:00:00,39.6406,116.063,2,39.6388,116.06,39.6424,116.066
1662,2012-11-30 00:00:00,39.6406,116.069,1,39.6388,116.066,39.6424,116.072
1672,2012-11-30 00:00:00,39.6406,116.129,2,39.6388,116.126,39.6424,116.132
1673,2012-11-30 00:00:00,39.6406,116.135,2,39.6388,116.132,39.6424,116.138
1675,2012-11-30 00:00:00,39.6406,116.147,3,39.6388,116.144,39.6424,116.15
1682,2012-11-30 00:00:00,39.6406,116.189,1,39.6388,116.186,39.6424,116.192
1704,2012-11-30 00:00:00,39.6406,116.321,2,39.6388,116.318,39.6424,116.324
1714,2012-11-30 00:00:00,39.6406,116.381,2,39.6388,116.378,39.6424,116.384
1726,2012-11-30 00:00:00,39.6406,116.453,3,39.6388,116.45,39.6424,116.456
1736,2012-11-30 00:00:00,39.6406,116.513,1,39.6388,116.51,39.6424,116.516
1748,2012-11-30 00:00:00,39.6406,116.585,1,39.6388,116.582,39.6424,116.588
1762,2012-11-30 00:00:00,39.6406,116.669,6,39.6388,116.666,39.6424,116.672
1824,2012-11-30 00:00:00,39.6442,115.841,1,39.6424,115.838,39.646,115.844
1843,2012-11-30 00:00:00,39.6442,115.955,1,39.6424,115.952,39.646,115.958
1847,2012-11-30 00:00:00,39.6442,115.979,2,39.6424,115.976,39.646,115.982
1859,2012-11-30 00:00:00,39.6442,116.051,1,39.6424,116.048,39.646,116.054
1860,2012-11-30 00:00:00,39.6442,116.057,1,39.6424,116.054,39.646,116.06
1861,2012-11-30 00:00:00,39.6442,116.063,3,39.6424,116.06,39.646,116.066
1862,2012-11-30 00:00:00,39.6442,116.069,1,39.6424,116.066,39.646,116.072
1869,2012-11-30 00:00:00,39.6442,116.111,2,39.6424,116.108,39.646,116.114
1883,2012-11-30 00:00:00,39.6442,116.195,1,39.6424,116.192,39.646,116.198
1895,2012-11-30 00:00:00,39.6442,116.267,1,39.6424,116.264,39.646,116.27
1912,2012-11-30 00:00:00,39.6442,116.369,3,39.6424,116.366,39.646,116.372
1922,2012-11-30 00:00:00,39.6442,116.429,3,39.6424,116.426,39.646,116.432
1923,2012-11-30 00:00:00,39.6442,116.435,1,39.6424,116.432,39.646,116.438
2037,2012-11-30 00:00:00,39.6478,115.919,2,39.646,115.916,39.6496,115.922
2038,2012-11-30 00:00:00,39.6478,115.925,2,39.646,115.922,39.6496,115.928
